time_points,avg_true_survival,init_coverage_per_time,proj_coverage_per_time,km_coverage_per_time
0.0,1.0,1.0,1.0,1.0
0.336734693877551,0.9901464031619895,1.0,1.0,0.854
0.673469387755102,0.9736299310886098,1.0,1.0,0.806
1.010204081632653,0.9526341312373249,1.0,1.0,0.74
1.346938775510204,0.9282031550763662,0.996,0.998,0.676
1.683673469387755,0.9011736541859422,0.994,0.996,0.622
2.020408163265306,0.8723004112910234,0.988,0.996,0.572
2.357142857142857,0.8422673951089877,0.982,0.996,0.556
2.693877551020408,0.8116715345796974,0.972,0.992,0.542
3.030612244897959,0.7810099846386311,0.964,0.992,0.528
3.36734693877551,0.750679573248525,0.96,0.988,0.494
3.704081632653061,0.7209850661096708,0.952,0.984,0.522
4.040816326530612,0.6921514008183505,0.938,0.984,0.53
4.377551020408163,0.6643367001958966,0.934,0.98,0.526
4.714285714285714,0.6376446200247676,0.918,0.98,0.524
5.051020408163265,0.6121355306781632,0.91,0.976,0.542
5.387755102040816,0.5878363089152634,0.912,0.97,0.562
5.724489795918367,0.5647485743096614,0.9,0.964,0.562
6.061224489795918,0.5428553669403305,0.894,0.962,0.568
6.3979591836734695,0.5221264208681843,0.89,0.962,0.58
6.73469387755102,0.5025222573894349,0.882,0.964,0.578
7.071428571428571,0.4839973262994136,0.878,0.968,0.588
7.408163265306122,0.46650239569540003,0.862,0.964,0.558
7.744897959183673,0.4499863531788767,0.848,0.964,0.568
8.081632653061224,0.4343975466002091,0.834,0.964,0.57
8.418367346938775,0.4196847651099092,0.822,0.962,0.57
8.755102040816325,0.40579794053865,0.792,0.952,0.552
9.091836734693878,0.392688633063565,0.76,0.948,0.556
9.428571428571429,0.38031035223352144,0.73,0.938,0.562
9.76530612244898,0.3686187538798081,0.714,0.932,0.546
10.10204081632653,0.3575717447674832,0.692,0.922,0.542
10.438775510204081,0.34712951973456413,0.678,0.906,0.532
10.775510204081632,0.3372545502827659,0.668,0.894,0.532
11.112244897959183,0.3279115389429772,0.658,0.882,0.532
11.448979591836734,0.3190673500925692,0.636,0.87,0.52
11.785714285714285,0.31069092510762797,0.604,0.864,0.512
12.122448979591836,0.3027531876415084,0.58,0.858,0.51
12.459183673469386,0.2952269432811913,0.552,0.846,0.5
12.795918367346939,0.2880867767067615,0.532,0.842,0.504
13.13265306122449,0.28130894865244577,0.53,0.824,0.492
13.46938775510204,0.2748712943527524,0.51,0.818,0.488
13.806122448979592,0.26875312469217083,0.49,0.802,0.486
14.142857142857142,0.2629351309193559,0.474,0.794,0.478
14.479591836734693,0.25739929350872787,0.462,0.776,0.48
14.816326530612244,0.25212879553536965,0.446,0.76,0.476
15.153061224489795,0.24710794076018153,0.43,0.742,0.48
15.489795918367346,0.242322076492182,0.426,0.734,0.48
15.826530612244897,0.2377575211964346,0.416,0.718,0.472
16.163265306122447,0.2334014967434866,0.378,0.688,0.472
16.5,0.22924206514447748,0.366,0.674,0.48
