rep_number,initial_mse_avg_true,initial_bias_avg_true,initial_bias_squared_avg_true,initial_variance_avg_true,targeted_mse_avg_true,targeted_bias_avg_true,targeted_bias_squared_avg_true,targeted_variance_avg_true,km_mse_avg_true,km_bias_avg_true,km_bias_squared_avg_true,km_variance_avg_true,initial_covers_avg_true,targeted_covers_avg_true,km_covers_avg_true
10,0.0034743854426861876,0.04842139162042413,0.00234463116645848,0.0011297542762277075,0.0021966062276033422,0.043936652020424134,0.0019304293907638401,0.0002661768368395021,0.006291370785310174,0.07432971542042413,0.005524906594481236,0.0007664641908289374,0.4,1.0,0.04
11,0.006787239697736722,0.08086438582042411,0.006539048894114409,0.00024819080362231336,0.002628692821789412,0.048918699620424125,0.0023930391725532833,0.00023565364923612856,0.004532700264747132,0.06450497602042414,0.004160891931395494,0.00037180833335163834,0.44,0.74,0.06
12,0.003668444045737428,0.05362741057957586,0.002875899165470405,0.000792544880267023,0.000843059632998103,0.02320168677957587,0.0005383182694175457,0.00030474136358055735,0.0018937245665385683,0.03789651977957587,0.0014361462114037854,0.00045757835513478284,0.76,1.0,0.56
13,0.005841605264222592,0.05923871197957587,0.003509224996999146,0.0023323802672234463,0.001248012349689672,0.02373576997957587,0.000563386776523335,0.0006846255731663369,0.0010491275122411167,0.007246172179575865,5.250701125605924e-05,0.0009966205009850574,0.56,1.0,0.74
14,0.0014442141686741678,0.029578329420424133,0.0008748775713031279,0.0005693365973710399,0.0005697524611537443,0.015506508220424129,0.0002404517971900811,0.00032930066396366317,0.0009680095336810379,0.024041039020424128,0.0005779715571815555,0.0003900379764994824,0.68,1.0,0.52
15,0.005812306744367639,0.06855251937957586,0.004699447913287125,0.0011128588310805147,0.005037108102063726,0.05016448277957587,0.002516475332542364,0.0025206327695213616,0.0036884227651071827,0.053680554779575874,0.0028816019614430464,0.0008068208036641363,0.4,1.0,0.28
16,0.00033150715933255386,0.010310461420424124,0.00010630561470205425,0.00022520154463049962,2.80069894193179e-05,0.0017584454204241356,3.092130296610615e-06,2.4914859122707283e-05,0.0007540963540795535,0.02113696097957586,0.00044677111945211253,0.000307325234627441,1.0,1.0,0.94
17,0.0037531362094787297,0.04870905962042413,0.0023725724891060325,0.0013805637203726973,0.0013683134714959275,0.009903856420424137,9.80863719963764e-05,0.001270227099499551,0.000655998926745649,0.011990013579575862,0.00014376042563841359,0.0005122385011072354,0.44,0.62,0.74
18,0.001892738549370703,0.0048736277795758684,2.375224773385361e-05,0.0018689863016368494,0.0015968489465448177,0.0029143967795758645,8.49370858880217e-06,0.0015883552379560154,0.005704980065719313,0.046825885220424135,0.0021926635266763354,0.0035123165390429775,0.7,1.0,0.44
19,0.014377998069707099,0.11272130037957588,0.012706091559262573,0.001671906510444526,0.0013097788911016074,0.02457887417957587,0.0006041210559354213,0.000705657835166186,0.00044195126657899336,0.012719834979575871,0.0001617942019076419,0.00028015706467135145,0.24,1.0,0.84
20,0.0014424024962263152,0.035267938779575875,0.001243827505759912,0.0001985749904664033,0.0014748438665173375,0.036957063579575865,0.0013658245484248128,0.00010901931809252467,0.0003935251029862291,0.005055440620424135,2.5557479866634367e-05,0.00036796762311959474,0.56,0.56,0.84
21,0.004243338625669852,0.052960910379575864,0.0028048580282334663,0.0014384805974363857,0.0020204952271468644,0.0031391850204241316,9.854482592455256e-06,0.002010640744554409,0.006083621946740797,0.04746040942042413,0.002252490462354283,0.0038311314843865137,0.96,0.74,0.5
22,0.00037242014997538735,0.013604317379575863,0.0001850774513642299,0.00018734269861115746,0.0006122854053360816,0.009145957979575865,8.364854736416743e-05,0.0005286368579719142,0.00245965661997959,0.04643705337957586,0.002156399926577578,0.00030325669340201204,1.0,1.0,0.2
23,0.0036696173459636965,0.028318580620424128,0.000801942008355461,0.0028676753376082357,0.002945837418757507,0.026978044379575867,0.000727814878546365,0.0022180225402111424,0.002953636818134346,0.030594142579575864,0.000936001560179417,0.002017635257954929,0.8,0.88,0.52
