rep,seed,true_ate,model_ate_std,model_se_std,model_cover_std,model_meanIF_std,model_varIF_std,model_ate_post_last,model_se_post_last,model_cover_post_last,model_meanIF_post_last,model_varIF_post_last,model_ate_post_full,model_se_post_full,model_cover_post_full,model_meanIF_post_full,model_varIF_post_full,model_ate_ttr_last,model_se_ttr_last,model_cover_ttr_last,model_meanIF_ttr_last,model_varIF_ttr_last,model_ate_ttr_full,model_se_ttr_full,model_cover_ttr_full,model_meanIF_ttr_full,model_varIF_ttr_full,model_ate_combined_last,model_se_combined_last,model_cover_combined_last,model_meanIF_combined_last,model_varIF_combined_last,model_ate_combined_full,model_se_combined_full,model_cover_combined_full,model_meanIF_combined_full,model_varIF_combined_full,model_ate_tmle_loss,model_se_tmle_loss,model_cover_tmle_loss,model_meanIF_tmle_loss,model_varIF_tmle_loss,model_ate_tmle_update,model_se_tmle_update,model_cover_tmle_update,model_meanIF_tmle_update,model_varIF_tmle_update,final_epsilon,model_ate_tmle,model_se_tmle,model_cover_tmle,model_meanIF_tmle,model_varIF_tmle,dr_ate_std,dr_se_std,dr_cover_std,dr_meanIF_std,dr_varIF_std,train_size,val_size,target_size
0,2000,4.0296612252169,3.9215014,0.0928981582440645,True,-0.0229199559110409,6.44666065043903,3.9119332,0.0929178850987868,True,-0.0150931674900186,6.449398828309818,3.8942528,0.0929905785547055,True,-0.0002088924521341,6.45949403185433,3.5842733,0.0934338733456795,False,0.2978202071747199,6.521226850217235,3.845357,0.0930319234580137,False,0.1038296328847351,6.465239270376404,3.9809527,0.0984024913728192,True,-0.0309796227305043,7.233238580358197,3.9127064,0.1017202002132932,True,0.0005542585770025,7.729208351180045,3.7865865,0.0924827011334429,False,0.1095418160541951,6.3891283566764825,3.9147384,0.096040393736431,True,0.0026839746312373,6.890146650099378,0.0053517767228186,3.8935632336092914,0.0929341401176852,True,3.450715364201648e-11,6.45165553636192,3.898581442175507,0.0928981582440645,True,-4.280377926265664e-17,6.44666065043903,597,149,747
1,2001,4.028985324394591,3.8306599,0.1010114706053238,False,0.1723253652601147,7.621877943806094,4.027887,0.1019864804363062,True,0.0020501877318404,7.769727917263458,4.07482,0.1041531523244678,True,-0.0005020180313946,8.103365716925481,3.784394,0.0896001200925107,False,0.1070954231569837,5.997051595882477,3.8903904,0.0903963947355255,True,0.0537242334321052,6.104116611342168,3.91616,0.099668662862688,True,-0.0002941514128352,7.420580240556621,3.9500155,0.108440311352287,True,0.0073213442066598,8.784197941257169,3.9723375,0.0954402148863707,True,0.0488362049850396,6.804299459314803,3.9953315,0.1103043337416488,True,0.0024164032429255,9.08878339351522,-0.0199320912361145,4.032518590818774,0.1020498742941922,True,2.7433693573561468e-11,7.779390102064945,4.002985231593122,0.1010114706053238,True,2.6633462652319687e-16,7.621877943806094,597,149,747
2,2002,4.098887128315376,3.9821608,0.0910685335199338,True,-0.0064811597681817,6.195227914711067,3.9745002,0.0910061559808008,True,3.2829496312175745e-05,6.18674395852219,3.9744408,0.0910030112442806,True,5.92919446889575e-05,6.186316397478428,3.832747,0.0944178281292758,False,0.1157885621266612,6.65930052268116,3.9719646,0.0920447750849728,True,0.040897890157856,6.328763743471096,4.011918,0.1020674213999014,True,-0.0003493519147355,7.782065607885124,4.002945,0.1205675564422423,True,-0.0184167405154671,10.85879214284062,3.8484824,0.0899008541769716,False,0.1361520237992422,6.037376195566597,4.016261,0.0863253625549289,True,-0.0013492684551263,5.5666949605192295,0.0099404323846101,3.9744984135083983,0.0909976457914356,True,-1.950720412214419e-12,6.1855869400689345,3.9756796468877016,0.0910685335199338,True,4.423057190474519e-16,6.195227914711067,597,149,747
3,2003,4.230994872122353,4.281151,0.108891287904299,True,-0.208920990575401,8.857412498348337,4.043869,0.1101394674667862,True,0.0062457546119506,9.06163461351884,4.0458846,0.1101057845504283,True,0.0008754701347322,9.056092992224617,3.8321037,0.136991015271307,False,-0.2005788102349881,14.018604084002426,4.028636,0.1080871196336954,True,-0.0596326537232944,8.727070596739466,4.043988,0.1183846921451964,True,0.0156488879348901,10.469156694731764,4.0575843,0.1071345552198213,True,0.0003721045380708,8.573926252845268,3.9878209,0.1100214975942785,False,0.0593250894163,9.04223325986721,3.970008,0.1082707637041484,False,-0.0014975553787647,8.756751029990422,-0.0005255989381112,4.048451081825902,0.1101866961318133,True,6.531300123671724e-10,9.0694076793201,4.072229827295693,0.108891287904299,True,-6.349227257294068e-16,8.857412498348337,597,149,747
4,2004,4.199819388465845,4.230879,0.1293620122064138,True,-0.1253184845627892,12.500694060962996,4.082376,0.131725649392214,True,-0.0007885562934707,12.96168009072698,4.104503,0.1296533630456443,True,-0.0004007574191489,12.557065928137092,3.998301,0.1479957085077521,True,0.1902373686844735,16.36133911332351,4.3012576,0.1336511486122002,True,-0.1413793598638549,13.343384255444244,4.227034,0.1642459559830873,True,-0.0001008113699959,20.1516203404283,4.149355,0.1330284901787136,True,-0.0021755204804435,13.219344661823408,4.2122316,0.1280308722072654,True,-0.0694026181128722,12.244752465900389,4.1340547,0.1334974426125728,True,-0.0015816182100163,13.312710686520589,-0.0103405164554715,4.076780892870181,0.1319692668255769,True,2.9515764516406565e-11,13.009667877700789,4.105560345393266,0.1293620122064138,True,-1.8072706799788359e-16,12.500694060962996,597,149,747
5,2005,4.062537823641359,3.8595893,0.0927750666200987,False,0.11243965052293,6.429588100813729,3.9864297,0.0919128677443869,True,-0.0005997407602683,6.3106375169768825,3.9861236,0.0919151136256996,True,-0.0001445859028899,6.310945920280483,3.8274505,0.1252233276405218,True,0.1188153289621675,11.713618693668014,3.9056742,0.0980227236037492,True,0.1645727827472412,7.177515393994676,4.052429,0.1178634852490868,True,-0.0005103958336378,10.377175462831104,4.011308,0.1045363971530769,True,-0.0083378327680382,8.163110172320131,4.0270915,0.1114218806601756,True,-0.0129588490509905,9.273882110918263,4.0457554,0.1082211111168188,True,-0.0011496257450447,8.748721241845068,0.0240312572568655,3.986111825107309,0.091917962326597,True,1.25068438723164e-10,6.311337113310469,3.972028988825542,0.0927750666200987,True,5.398032162568365e-16,6.429588100813729,597,149,747
6,2006,3.893914590637293,3.5678236,0.1077148684972081,False,0.1875800451273086,8.66706219284202,3.7901177,0.1107607499382026,True,-0.0218300685213884,9.164153963974169,3.7710726,0.1110497528393861,True,0.0009552252016478,9.212039561449496,3.7621481,0.0955782243211313,True,0.0262781501595268,6.823992132392233,3.3974433,0.0940281507252908,False,0.23945840154221,6.6044459672270515,3.7390893,0.0991863575751803,True,0.0009008817447118,7.348936346186557,3.7802405,0.0980003893669921,True,-4.5602431179463405e-05,7.1742450081133065,3.7696598,0.0900047827368931,True,0.001075757903471,6.0513431038899546,3.7756226,0.088829523092092,True,-0.0002182450493671,5.894341077058079,0.0090186782181262,3.777969611859475,0.1109438083619381,True,4.665026907086563e-10,9.194470874546292,3.755403693580067,0.1077148684972081,True,1.5456920289292676e-17,8.66706219284202,597,149,747
7,2007,3.832175760771114,4.0872545,0.1248781810329969,False,-0.4071599347548492,11.649136393288146,3.6548812,0.1241961422251269,True,0.0072016252524372,11.522237262472162,3.6506221,0.1249393815392335,True,0.0041482749528124,11.6605572473764,3.7256284,0.121627067244335,True,-0.0919470141534932,11.050478184384117,3.5435336,0.1135493881031799,False,0.0533816906997971,9.631417263339124,3.6399207,0.1077164268052439,True,0.0066171318201735,8.667312966956036,3.6538157,0.1237718524368859,True,-0.0009620041788145,11.44364517737672,3.6096299,0.121194871415053,True,0.0518794037824532,10.972083052411502,3.639013,0.1200842986215007,True,-0.0007141689779413,10.77191836523708,-0.0061284941621124,3.637888775826251,0.1259149002484125,True,-1.2790112815350018e-09,11.843357892112058,3.680094589476108,0.124878181032997,True,-8.085158305168474e-17,11.649136393288147,597,149,747
8,2008,10.460490630192798,9.656085,1.0433012032483375,True,-0.007027643431781,813.0926183224734,9.618595,1.0432742061364086,True,-0.0009953199653349,813.0505386845966,9.656085,1.0433012032483375,True,-0.007027643431781,813.0926183224734,9.47382,1.0178073696168108,True,-0.209077884810112,773.8410857097797,9.947177,1.0208122996300095,True,-0.0060051364391301,778.4171400537036,9.258059,0.9977744733061702,True,-0.0047218763708592,743.6787629873097,10.243736,1.0239758574692124,True,-0.005652493931193,783.2493378398169,9.959778,2.6735732065822098,True,-2.2732442342272914,5339.551287142847,9.135343,1.0852634273120685,True,0.9284362986264896,879.8141398758695,-0.117450326681137,9.6466525685903,1.0433233713294043,True,-3.3952338189177135e-12,813.1271719001292,9.64905737091148,1.0433012032483375,True,6.087648606244499e-16,813.0926183224734,597,149,747
9,2009,4.640317404518317,4.1200933,0.3429224041368479,True,0.4555032221869858,87.84404411846977,4.578486,0.3422064251750431,True,0.0006526443033622,87.47761236101854,4.6411524,0.3419738935263673,True,-0.000130116778394,87.35876945862667,3.9853542,0.3459511908182755,True,0.4956713688183938,89.40262314215141,4.666653,0.341737345423542,True,0.1016338842778561,87.23795670307555,4.63324,0.3573557191380322,True,0.0003428773544882,95.39422317049316,4.7094097,0.3442414495866709,True,0.0004746360516148,88.5211251833088,4.590071,0.3389919844307199,True,0.069446476036171,85.84192743468326,4.6984944,0.3438038633318936,True,0.0004841628693165,88.29621904212576,0.0214244723320007,4.606455866347505,0.3427567010643482,True,1.4547016573629012e-09,87.75917062501267,4.575596567829075,0.342922404136848,True,3.804780378902812e-16,87.84404411846978,597,149,747
