time,true_survival,initial_survival,targeted_survival,km_survival,initial_ci_lower,initial_ci_upper,targeted_ci_lower,targeted_ci_upper,km_ci_lower,km_ci_upper,initial_pointwise_coverage,targeted_pointwise_coverage,km_pointwise_coverage,targeted_model_coverage
0.0,1.0,0.9996302809208804,0.9996481869432756,1.0,0.9994137161668576,0.9998468456749031,0.9994513976419911,0.9998449762445601,1.0,1.0,False,False,True,1.0
0.3488958039672325,0.9910165621761179,0.9908774731168013,0.9913313309045696,0.9944441887119705,0.9861203635353566,0.995634582698246,0.9869934845931406,0.9956691772159986,0.9911470418699525,0.9977413355539885,True,True,False,1.0
0.697791607934465,0.9769413019295357,0.9806450163429797,0.9816189052502089,0.9851383383862986,0.971783367094853,0.9895066655911064,0.973498961445194,0.9897388490552238,0.9762010098754245,0.9940756668971727,True,True,True,1.0
1.0466874119016976,0.9595048919718441,0.9677222218434535,0.9693635407148206,0.9703790826270835,0.9551104016401697,0.9803340420467372,0.9577255091457089,0.9810015722839323,0.9573652847573335,0.9833928804968335,True,True,True,1.0
1.39558321586893,0.9395870104956927,0.9532431948075935,0.9556261455490009,0.9535617063328538,0.93781096433464,0.968675425280547,0.9412698517814134,0.9699824393165885,0.9412339355599806,0.9658894771057269,True,False,False,1.0
1.7444790198361626,0.9178039308068714,0.9366371221311021,0.9398468278078849,0.9363657387705417,0.9191710322764088,0.9541032119857953,0.9234285043848749,0.9562651512308948,0.9205138588287393,0.9522176187123442,False,False,False,1.0
2.093374823803395,0.8946439827438762,0.9169542883730253,0.9211038575044803,0.9174177792845105,0.8980741462750961,0.9358344304709545,0.9030736773203569,0.9391340376886037,0.9015673495450616,0.9332682090239595,False,False,False,1.0
2.4422706277706276,0.8705087158223426,0.896269665908159,0.9013352870209568,0.8941143166107226,0.8762314060891598,0.9163079257271582,0.8818756634268832,0.9207949106150304,0.8774314345039548,0.9107971987174904,False,False,False,1.0
2.79116643173786,0.8457344529333,0.8728762193286764,0.8788755906487709,0.8654844475434397,0.8510881575193259,0.894664281138027,0.8573715846805582,0.9003795966169835,0.8312079864097128,0.8997609086771665,False,False,True,1.0
3.1400622357050927,0.8206044900337799,0.8493962873165527,0.8562229477533687,0.8439437133700471,0.8249834635908234,0.873809111042282,0.8318082192561531,0.8806376762505843,0.8081865662465829,0.8797008604935114,False,False,True,1.0
3.488958039672325,0.795356232496385,0.825144683213432,0.8327300124368131,0.8206812261659848,0.7971353207805408,0.8531540456463232,0.8044410109970008,0.8610190138766254,0.7805080103199427,0.860854442012027,False,False,True,1.0
3.8378538436395577,0.7701868290653715,0.7992587621718517,0.8075404523928963,0.7965024136150141,0.7667407763400177,0.8317767480036856,0.7744752638867325,0.8406056408990601,0.7556973890164622,0.8373074382135659,True,False,True,1.0
4.18674964760679,0.7452589352144676,0.7745351092869729,0.7833890982142974,0.773025216771613,0.7374708327988498,0.8115993857750959,0.7455595386518729,0.8212186577767219,0.7327506137961126,0.8132998197471133,True,False,True,1.0
4.535645451574023,0.7207062647855119,0.7487812824712007,0.7581467022659784,0.7463863938345072,0.7070868040899955,0.7904757608524059,0.7154897025352149,0.8008037019967418,0.7014956026433952,0.7912771850256193,True,True,True,1.0
4.884541255541255,0.6966379757138231,0.7246484526887663,0.7344078789027549,0.7181903113245653,0.6788953183569106,0.770401587020622,0.687554515559001,0.7812612422465088,0.6655240841998808,0.7708565384492498,True,True,True,1.0
5.233437059508487,0.6731415833086442,0.7010504774518664,0.7111146166793709,0.685808242432685,0.6516931211362178,0.7504078337675151,0.660594961017288,0.7616342723414539,0.6217557067742383,0.7498607780911317,True,True,True,1.0
5.58233286347572,0.6502849891557881,0.6769628620200439,0.6872405613966954,0.6656380159380761,0.6243569187643856,0.7295688052757021,0.6335059073725892,0.7409752154208017,0.5959792264150694,0.7352968054610829,True,True,True,1.0
5.931228667442953,0.6281184088310298,0.6547543049126664,0.6651313471696352,0.6408122604055438,0.5995467655104392,0.7099618443148936,0.6089269102223849,0.7213357841168855,0.5630494173170588,0.7185751034940289,True,True,True,1.0
6.280124471410185,0.6066765442319912,0.6333084477043369,0.6436857204355471,0.6192193292184047,0.5759022660775435,0.6907146293311304,0.5855076628350124,0.7018637780360817,0.5496887801357229,0.6887498783010866,True,True,True,1.0
6.6290202753774174,0.5859809224531345,0.611646570629063,0.6219211757159121,0.6034520836774966,0.552263333695378,0.6710298075627481,0.5620957348280505,0.6817466166037737,0.53190775496296,0.6749964123920331,True,True,True,1.0
6.97791607934465,0.5660421787872553,0.5918519563267279,0.6019342271555443,0.5832571350060718,0.5308082428767321,0.6528956697767238,0.5408309043490093,0.6630375499620794,0.51693530405692,0.6495789659552236,True,True,True,1.0
7.326811883311883,0.5468621081307521,0.571946175660725,0.5817327934178781,0.5598068190414973,0.5093030572573948,0.6345892940640553,0.5194775963118408,0.6439879905239154,0.49938263908659375,0.6202309989964009,True,True,True,1.0
7.6757076872791155,0.5284354205737467,0.5538188681999131,0.5632425182345269,0.5435938075800371,0.4897201381957119,0.6179175982041143,0.49997151759844916,0.6265135188706046,0.4860074076798452,0.6011802074802289,True,True,True,1.0
8.024603491246348,0.5107512234065539,0.5364850128066163,0.5454737909402914,0.5200940543973167,0.47094204092808917,0.6020279846851434,0.4811902650130826,0.6097573168675001,0.4718175129527873,0.5683705958418461,True,True,True,1.0
8.37349929521358,0.4937942798123597,0.5191162156858612,0.5275779464325311,0.5004370761382366,0.452020480595674,0.5862119507760484,0.46217123608466115,0.592984656780401,0.4563272708308908,0.5445468814455825,True,True,True,0.8
8.722395099180813,0.47754608286513206,0.5033382049671442,0.5112381274820583,0.4843485596702086,0.4346969604851396,0.5719794494491488,0.4446592791226542,0.5778169758414625,0.4378078060114931,0.5308893133289241,True,True,True,0.8
9.071290903148046,0.46198576332105395,0.48754050810565647,0.4947928367672819,0.4660367423612691,0.41718788956553854,0.5578931266457744,0.426848881859703,0.5627367916748609,0.42075882644896334,0.5113146582735748,True,True,True,0.6
9.420186707115278,0.44709083882973893,0.47319625239839513,0.47978279448510497,0.4522779082311235,0.40112650248308124,0.545266002313709,0.4104031345350085,0.5491624544352015,0.4105301040947579,0.49402571236748916,True,True,True,0.6
9.76908251108251,0.4328378131455103,0.45950428134248955,0.46538418196519665,0.43705910648571483,0.3856359414462859,0.5333726212386932,0.39443706706686277,0.5363312968635305,0.39239174160658535,0.4817264713648443,True,True,True,0.6
10.117978315049744,0.41920264096861104,0.44579444089754955,0.4508955506727019,0.4212268055394978,0.369960641597115,0.5216282401979841,0.3781695365724155,0.5236215647729883,0.3796966728685317,0.46275693821046393,True,True,True,0.6
10.466874119016975,0.4061610803807006,0.43333941348217875,0.4376690104824986,0.4073025818427577,0.35557390852969456,0.511104918434663,0.36313930094027286,0.5121987200247243,0.36203901136775096,0.4525661523177644,True,True,True,0.6
10.815769922984208,0.39368895691363004,0.4208614762803034,0.42435612449749094,0.3939190528032781,0.3410237465978711,0.5006992059627358,0.3478401144010455,0.5008721345939364,0.33966550980393173,0.4481725958026245,True,True,True,0.6
11.16466572695144,0.3817623612149993,0.4095178965482383,0.4121985606742616,0.3848458064099393,0.3276824479289489,0.49135334516752766,0.3337257177490608,0.4906714035994624,0.33506948655518903,0.4346221262646896,True,True,True,0.6
11.513561530918674,0.3703577979170764,0.3986735651178101,0.4005272319318617,0.3731399808577818,0.3148344904500724,0.4825126397855478,0.3200610749363954,0.48099338892732796,0.3228039862686808,0.42347597544688276,True,True,True,0.6
11.862457334885907,0.35945229854078203,0.38779530878754565,0.3887712139901709,0.36218372579786823,0.30186485995105455,0.47372575762403674,0.30619960471273117,0.4713428232676106,0.3190443937426068,0.40532305785312966,True,True,True,0.6
12.211353138853138,0.349023507205399,0.37789304530213236,0.37802794445106924,0.3554149624344482,0.28999736624836636,0.46578872435589835,0.29345805121429847,0.46259783768784,0.3150546823170118,0.3957752425518846,True,True,True,0.6
