Metric,Initial Model,Targeted Model,Kaplan-Meier
MSE,0.0038930161739043315,0.002486775525345487,0.0037927906756736285
Bias^2,0.00014669560795579998,8.769843332459824e-05,1.3724680889439643e-06
Variance,0.002732278999647354,0.0013818703180857315,0.0027652880567317077
Bias^2 / MSE (%),3.768173606344871,3.5265922649940156,0.036186233470430144
Variance / MSE (%),70.18411631480929,55.56875978557609,72.90906072058858
